Model;Brand;year;quarter;month;month_id;Audio_jack;battery_removable;battery_amps;battery_type;Bluetooth;Display_type;aspect_ratio;screen_body_ratio;GPS;Radio;ram_MB;im_MB;primary_camera_MP;primary_camera_autofocus;primary_camera_LED_flash;primary_camera_VGA;sensor_accelerometer;sensor_fingerprint;sensor_fingerprint_mounted;sensor_heart_rate;sensor_iris_scanner;sensor_proximity;sensor_temperature
_X960;Acer;2009;1;February;2;N;Y;1530;Li-Po;Y;TFT resistive touchscreen  65K colors;1.3333333333;38;Y;N;128.0;256.0;3.15;Y;Y;N;N;N;null;N;N;N;N
_DX900;Acer;2009;1;February;2;N;Y;1530;Li-Po;Y;TFT resistive touchscreen  65K colors;1.3333333333;37;Y;N;128.0;256.0;3.15;Y;Y;N;Y;N;null;N;N;N;N
_F900;Acer;2009;1;February;2;N;Y;1530;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;128.0;256.0;3.15;Y;Y;N;Y;N;null;N;N;N;N
_M900;Acer;2009;1;February;2;N;Y;1530;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;null;null;5.0;Y;Y;N;N;Y;front;N;N;N;N
_DX650;Acer;2009;2;June;6;N;Y;1260;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.3333333333;37;Y;Y;null;null;2.0;N;N;N;Y;N;null;N;N;N;N
_beTouch E200;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT  65K colors;1.6666666667;43;Y;N;256.0;512.0;3.15;N;N;N;N;N;null;N;N;N;N
_neoTouch;Acer;2009;4;October;10;Y;Y;1350;Li-Po;Y;TFT resistive touchscreen  65K colors;1.6666666667;55;Y;Y;256.0;512.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid;Acer;2009;4;October;10;Y;Y;1350;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.6666666667;48;Y;N;256.0;512.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_beTouch E101;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;46;Y;N;256.0;512.0;2.0;N;N;N;N;N;null;N;N;N;N
_beTouch E100;Acer;2009;4;October;10;N;Y;1140;Li-Ion;Y;TFT resistive touchscreen  65K colors;1.6666666667;46;Y;N;256.0;512.0;2.0;N;N;N;N;N;null;N;N;N;N
_beTouch E400;Acer;2010;1;February;2;Y;Y;1090;Li-Po;Y;TFT resistive touchscreen  256K colors;1.5;44;Y;Y;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_neoTouch P400;Acer;2010;1;February;2;Y;Y;1090;Li-Po;Y;TFT resistive touchscreen  256K colors;1.5;44;Y;Y;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_neoTouch P300;Acer;2010;1;February;2;Y;Y;970;Li-Po;Y;TFT resistive touchscreen  65K colors;1.6666666667;48;Y;N;256.0;512.0;3.15;Y;N;N;Y;N;null;N;N;N;N
_beTouch E110;Acer;2010;1;February;2;Y;Y;1500;Li-Ion;Y;TFT resistive touchscreen  256K colors (65K effective);1.3333333333;43;Y;Y;256.0;256.0;3.15;N;N;N;N;N;null;N;N;N;N
_Liquid E;Acer;2010;1;February;2;Y;Y;1350;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.6666666667;48;Y;N;512.0;512.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_beTouch E130;Acer;2010;2;June;6;Y;Y;1500;Li-Ion;Y;TFT touchscreen  65K colors;1.3333333333;29;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_beTouch E120;Acer;2010;2;June;6;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen;1.3333333333;43;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_Stream;Acer;2010;2;May;5;Y;Y;1400;Li-Ion;Y;AMOLED capacitive touchscreen  16M colors;1.6666666667;51;Y;Y;512.0;2000.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_beTouch E140;Acer;2010;4;December;12;Y;Y;1300;Li-Ion;Y;TFT resistive touchscreen  256K colors;1.3333333333;41;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_beTouch T500;Acer;2010;4;October;10;N;Y;1500;Li-Ion;Y;TFT touchscreen;1.5;44;Y;N;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_Liquid mt;Acer;2010;4;October;10;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;50;Y;N;512.0;512.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A101;Acer;2011;1;February;2;Y;N;1530;Li-Po;Y;LCD capacitive touchscreen  16M colors;1.7066666667;60;Y;N;1000.0;16000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Iconia Tab A100;Acer;2011;1;February;2;Y;N;1530;Li-Po;Y;LCD capacitive touchscreen  16M colors;1.7066666667;60;Y;N;1000.0;16000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Iconia Tab A500;Acer;2011;1;February;2;Y;N;3260;Li-Po;Y;LCD capacitive touchscreen  256K colors;1.6;64;Y;N;1000.0;32000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A501;Acer;2011;1;February;2;Y;N;3260;Li-Po;Y;LCD capacitive touchscreen  256K colors;1.6;64;Y;N;1000.0;64000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Smart;Acer;2011;1;February;2;Y;Y;1500;Li-Po;Y;TFT capacitive touchscreen  16M colors;2.1333333333;62;Y;Y;512.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_beTouch E210;Acer;2011;1;January;1;Y;Y;1300;Li-Ion;Y;TFT resistive touchscreen  256K colors;1.3333333333;28;Y;Y;256.0;512.0;3.15;N;N;N;Y;N;null;N;N;N;N
_Liquid mini E310;Acer;2011;1;January;1;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.5;48;Y;Y;512.0;512.0;5.0;N;N;N;Y;N;null;N;N;Y;N
_Liquid Express E320;Acer;2011;3;September;9;Y;Y;null;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.5;48;Y;Y;512.0;512.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Allegro;Acer;2011;4;October;10;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.6666666667;53;Y;N;null;8000.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_Iconia Tab A510;Acer;2012;1;February;2;Y;N;9800;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.6;65;Y;N;1000.0;32000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Iconia Tab A511;Acer;2012;1;February;2;Y;N;9800;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.6;65;Y;N;1000.0;32000.0;5.0;Y;N;N;Y;N;null;N;N;Y;N
_CloudMobile S500;Acer;2012;1;February;2;Y;Y;1460;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;61;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Glow E330;Acer;2012;1;February;2;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen;1.6666666667;56;Y;Y;512.0;1000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A701;Acer;2012;1;January;1;Y;N;9800;Li-Po;Y;LCD capacitive touchscreen  16M colors;1.6;65;Y;N;1000.0;64000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Iconia Tab A700;Acer;2012;1;January;1;Y;N;9800;Li-Ion;Y;LCD capacitive touchscreen  16M colors;1.6;65;Y;N;1000.0;64000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Iconia Tab A200;Acer;2012;1;January;1;Y;N;3260;Li-Po;Y;Capacitive touchscreen  16M colors;1.6;65;Y;N;1000.0;16000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Iconia Tab A210;Acer;2012;3;null;null;Y;N;3260;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.6;65;Y;N;1000.0;16000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Liquid Gallant E350;Acer;2012;3;August;8;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7777777778;60;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Gallant Duo;Acer;2012;3;July;7;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7777777778;60;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A110;Acer;2012;4;October;10;Y;N;3420;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.7066666667;56;Y;N;1000.0;8000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Liquid Z110;Acer;2012;4;October;10;Y;Y;1300;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.5;53;Y;Y;512.0;4000.0;3.15;N;N;N;Y;N;null;N;N;Y;N
_Liquid Z2;Acer;2013;1;February;2;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen  256K colors;1.5;53;Y;Y;512.0;4000.0;5.0;N;N;N;Y;N;null;N;N;Y;N
_Iconia Tab B1-A71;Acer;2013;1;January;1;Y;N;2710;Li-Po;Y;TFT capacitive touchscreen  256K colors;1.7066666667;54;Y;N;512.0;16000.0;null;N;N;Y;Y;N;null;N;N;N;N
_Liquid E1;Acer;2013;1;January;1;Y;Y;1760;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;61;Y;Y;1000.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid C1;Acer;2013;1;January;1;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;61;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A1-811;Acer;2013;2;null;null;Y;N;4960;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.3333333333;63;Y;N;1000.0;8000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Liquid E2;Acer;2013;2;April;4;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;62;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A1-810;Acer;2013;2;April;4;Y;N;4960;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.3333333333;63;Y;N;1000.0;16000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Liquid S1;Acer;2013;2;June;6;Y;Y;2400;Li-Po;Y;TFT capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid S2;Acer;2013;3;August;8;Y;N;3300;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;2000.0;16000.0;3.0;Y;N;N;Y;N;null;N;N;Y;N
_Liquid Z3;Acer;2013;3;August;8;Y;Y;1500;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.5;55;Y;Y;512.0;4000.0;3.15;N;N;N;Y;N;null;N;N;Y;N
_Iconia Tab A3;Acer;2013;3;September;9;Y;N;7300;Li-Po;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.6;65;Y;N;1000.0;32000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Iconia Tab B1-710;Acer;2013;4;November;11;Y;N;2640;Li-Ion;Y;TFT capacitive touchscreen;1.7066666667;53;Y;N;1000.0;8000.0;null;N;N;N;Y;N;null;N;N;N;N
_Liquid E3;Acer;2014;1;February;2;Y;N;null;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;4000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z4;Acer;2014;1;February;2;Y;Y;1630;Li-Ion;Y;TFT capacitive touchscreen;1.6666666667;57;N;N;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia B1-720;Acer;2014;1;January;1;Y;N;2955;Li-Po;Y;TFT capacitive touchscreen;1.7066666667;57;Y;N;1000.0;16000.0;null;N;N;Y;Y;N;null;N;N;N;N
_Iconia B1-721;Acer;2014;1;January;1;Y;N;2955;Li-Po;Y;TFT capacitive touchscreen;1.7066666667;56;Y;N;1000.0;16000.0;null;N;N;Y;Y;N;null;N;N;N;N
_Iconia A1-830;Acer;2014;1;January;1;Y;N;4000;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.3333333333;68;Y;N;1000.0;16000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Liquid Z5;Acer;2014;1;January;1;Y;N;2000;Li-Ion;Y;TFT capacitive touchscreen  16M colors;1.7791666667;64;Y;Y;512.0;4000.0;5.0;N;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab 7 A1-713HD;Acer;2014;2;April;4;Y;N;null;Li-Ion;Y;IPS LCD capacitive touchscreen;1.6;66;Y;N;1000.0;16000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Iconia Tab 7 A1-713;Acer;2014;2;April;4;Y;N;null;Li-Ion;Y;TFT capacitive touchscreen;1.7066666667;64;Y;N;1000.0;16000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Iconia One 7 B1-730;Acer;2014;2;April;4;Y;N;3700;Li-Ion;Y;IPS LCD capacitive touchscreen;1.6;66;N;N;1000.0;8000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Iconia Tab 8 A1-840FHD;Acer;2014;2;June;6;Y;N;4600;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.6;66;Y;N;2000.0;32000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Liquid E600;Acer;2014;2;June;6;Y;N;2500;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;65;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid E700;Acer;2014;2;June;6;Y;N;3500;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;64;Y;Y;2000.0;16000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Jade;Acer;2014;2;June;6;Y;N;2100;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;71;Y;Y;1000.0;8000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid X1;Acer;2014;2;June;6;Y;Y;2700;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;72;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z200;Acer;2014;2;June;6;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen;1.6666666667;55;Y;Y;512.0;4000.0;2.0;N;N;N;Y;N;null;N;N;N;N
_Liquid E3 Duo Plus;Acer;2014;3;null;null;Y;N;null;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;64;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z500;Acer;2014;3;September;9;Y;N;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;65;Y;Y;1000.0;4000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Jade S;Acer;2014;4;December;12;Y;N;2300;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab A3-A20;Acer;2014;4;October;10;Y;N;5910;Li-Po;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.6;67;Y;N;1000.0;16000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Iconia Tab A3-A20FHD;Acer;2014;4;October;10;Y;N;5910;Li-Po;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.6;67;Y;N;2000.0;32000.0;5.0;Y;N;N;Y;N;null;N;N;N;N
_Liquid Z410;Acer;2015;1;January;1;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;61;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Jade Z;Acer;2015;1;March;3;Y;N;2300;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z520;Acer;2015;1;March;3;Y;Y;2000;Li-Po;Y;TFT capacitive touchscreen;1.7791666667;57;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z220;Acer;2015;1;March;3;Y;Y;1300;Li-Ion;Y;Capacitive touchscreen;1.6666666667;56;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;N;N
_Liquid M220;Acer;2015;1;March;3;Y;Y;1300;Li-Ion;Y;TFT capacitive touchscreen;1.6666666667;57;Y;Y;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia One 8 B1-820;Acer;2015;2;April;4;Y;N;4550;Li-Ion;Y;IPS LCD capacitive touchscreen;1.6;67;Y;N;1000.0;32000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Liquid X2;Acer;2015;2;April;4;Y;Y;4020;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;3000.0;32000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab 10 A3-A30;Acer;2015;2;April;4;Y;N;5910;Li-Ion;Y;LED-backlit IPS LCD capacitive touchscreen  16M colors;1.6;64;Y;N;2000.0;64000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Liquid Jade Primo;Acer;2015;3;September;9;Y;N;2870;Li-Po;Y;AMOLED capacitive touchscreen  16M colors;1.7777777778;70;Y;Y;3000.0;32000.0;1.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z630S;Acer;2015;3;September;9;Y;Y;4000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;3000.0;32000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z320;Acer;2015;3;September;9;Y;Y;2000;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;61;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z630;Acer;2015;3;September;9;Y;Y;4000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Predator 8;Acer;2015;3;September;9;Y;N;4420;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.6;67;null;N;2000.0;64000.0;5.0;N;N;N;N;N;null;N;N;N;N
_Liquid Z330;Acer;2015;3;September;9;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;61;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid M330;Acer;2015;3;September;9;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;61;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid M320;Acer;2015;3;September;9;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7791666667;61;Y;Y;1000.0;8000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z530;Acer;2015;3;September;9;Y;Y;2420;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Z530S;Acer;2015;3;September;9;Y;Y;2420;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;68;Y;Y;3000.0;32000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Zest;Acer;2016;1;February;2;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;66;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_Liquid Zest Plus;Acer;2016;2;April;4;Y;N;5000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;70;Y;Y;2000.0;16000.0;3.0;Y;Y;N;Y;N;null;N;N;Y;N
_Iconia Tab 10 A3-A40;Acer;2016;2;April;4;Y;N;null;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.6;68;null;N;2000.0;64000.0;5.0;N;N;N;Y;N;null;N;N;N;N
_Iconia Talk S;Acer;2016;3;August;8;Y;N;3400;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;69;Y;Y;2000.0;32000.0;3.0;Y;N;N;Y;N;null;N;N;Y;N
_Liquid Z6 Plus;Acer;2016;3;August;8;Y;Y;4080;Li-Po;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;71;Y;Y;3000.0;32000.0;3.0;Y;Y;N;Y;Y;front;N;N;Y;N
_Liquid Z6;Acer;2016;3;August;8;Y;Y;2000;Li-Ion;Y;IPS LCD capacitive touchscreen  16M colors;1.7777777778;null;Y;Y;1000.0;8000.0;8.0;Y;Y;N;Y;N;null;N;N;Y;N
_View;Alcatel;null;null;null;null;Y;Y;1500;Li-Ion;Y;IPS LCD capacitive touchscreen;1.6666666667;null;Y;N;512.0;4000.0;5.0;Y;Y;N;Y;N;null;N;N;Y;N
_HC 1000;Alcatel;1997;null;null;null;N;Y;600;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT COM;Alcatel;1998;null;null;null;N;Y;880;NiMH;N;Monochrome resistive touchscreen;1.49375;null;N;N;null;0.512;null;N;N;N;N;N;null;N;N;N;N
_OT Club +;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Club;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Easy HF;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Max;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Pro;Alcatel;1998;null;null;null;N;Y;600;NiMH;N;Monochrome graphic;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Easy;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT View;Alcatel;1998;null;null;null;N;Y;580;NiMH;N;Monochrome graphic;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Pocket;Alcatel;1999;null;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT View db;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT View db @;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 700;Alcatel;2000;null;null;null;N;Y;780;Li-Po;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Club db;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Easy db;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Max db;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT Gum db;Alcatel;2000;null;null;null;N;Y;650;NiMH;N;Alphanumeric;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 300;Alcatel;2000;null;null;null;N;Y;null;Li-Ion;N;Monochrome graphic;null;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 500;Alcatel;2000;null;null;null;N;Y;null;Li-Ion;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 311;Alcatel;2001;null;null;null;N;Y;700;NiMH;N;Monochrome graphic;1.4769230769;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 511;Alcatel;2001;null;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 715;Alcatel;2002;null;null;null;N;Y;null;Li-Po;N;Grayscale graphic  4 shades;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 512;Alcatel;2002;null;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.5;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 525;Alcatel;2002;4;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.4769230769;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 332;Alcatel;2003;null;null;null;N;Y;null;Li-Ion;N;CSTN  4096 colors;1.4769230769;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 320;Alcatel;2003;1;null;null;N;Y;700;Li-Ion;N;Monochrome graphic;1.75;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 526;Alcatel;2003;1;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.4769230769;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 531;Alcatel;2003;1;March;3;N;Y;900;Li-Ion;N;CSTN  4096 colors;1.1015625;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 331;Alcatel;2003;2;null;null;N;Y;600;Li-Ion;N;Monochrome graphic;1.4769230769;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 535;Alcatel;2003;3;July;7;N;Y;null;Li-Ion;N;CSTN  4096 colors;1.0;null;N;N;null;1.0;null;N;N;N;N;N;null;N;N;N;N
_OT 735;Alcatel;2003;3;September;9;N;Y;null;Li-Ion;N;CSTN  4096 colors;1.0;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 556;Alcatel;2004;1;null;null;N;Y;800;Li-Ion;N;CSTN  65K colors;1.25;null;N;N;null;2.0;null;N;N;Y;N;N;null;N;N;N;N
_OT 756;Alcatel;2004;1;null;null;N;Y;950;Li-Ion;N;TFT  256K colors;1.25;null;N;N;null;4.0;null;N;N;Y;N;N;null;N;N;N;N
_OT 835;Alcatel;2004;1;null;null;N;Y;785;Li-Ion;N;TFT  256K colors;1.25;null;N;N;null;3.0;null;N;N;Y;N;N;null;N;N;N;N
_OT 735i;Alcatel;2004;1;null;null;N;Y;null;Li-Ion;N;CSTN  4096 colors;1.0;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
_OT 156;Alcatel;2004;1;null;null;N;Y;720;Li-Ion;N;LCD  4096 colors;1.2625;null;N;N;null;null;null;N;N;N;N;N;null;N;N;N;N
