Brand;Year;# Models;Sales
TCL            ;2007;0;
TCL            ;2008;0;
TCL            ;2009;0;
TCL            ;2010;0;
TCL            ;2011;0;
TCL            ;2012;0;371766
TCL            ;2013;0;495313
TCL            ;2014;0;64026
TCL            ;2015;0;
TCL            ;2016;0;
TCL            ;2017;0;
TCL            ;2018;0;
TCL            ;2019;0;
Tel.Me.        ;2002;1;
Tel.Me.        ;2003;3;
Tel.Me.        ;2004;1;
Telit          ;1999;5;
Telit          ;2002;2;
Telit          ;2003;3;
Telit          ;2004;4;
Telit          ;2005;9;
Telit          ;2006;6;
Telit          ;2675;1;
Thuraya        ;2007;1;
Toshiba        ;2005;5;
Toshiba        ;2006;8;
Toshiba        ;2007;2;
Toshiba        ;2008;4;
Toshiba        ;2009;1;
Toshiba        ;2010;2;
Toshiba        ;2011;4;
Toshiba        ;2012;4;
Toshiba        ;2013;3;
Toshiba        ;2014;2;
Unnecto        ;2011;6;
Unnecto        ;2012;5;
Unnecto        ;2013;2;
Unnecto        ;2014;3;
Unnecto        ;2015;8;
Unnecto        ;2016;6;
Vertu          ;2003;1;
Vertu          ;2004;1;
Vertu          ;2005;1;
Vertu          ;2006;1;
Vertu          ;2008;2;
Vertu          ;2009;2;
Vertu          ;2010;2;
Vertu          ;2011;2;
Vertu          ;2013;2;
Vertu          ;2014;2;
Vertu          ;2015;1;
verykool       ;2011;26;
verykool       ;2012;19;
verykool       ;2013;19;
verykool       ;2014;19;
verykool       ;2015;19;
verykool       ;2016;13;
verykool       ;2017;12;
Vivo           ;1992;0;
Vivo           ;1993;0;
Vivo           ;1994;0;
Vivo           ;1995;0;
Vivo           ;1996;0;
Vivo           ;1997;0;
Vivo           ;1998;0;
Vivo           ;1999;0;
Vivo           ;2000;0;
Vivo           ;2001;0;
Vivo           ;2002;0;
Vivo           ;2003;0;
Vivo           ;2004;0;
Vivo           ;2005;0;
Vivo           ;2006;0;
Vivo           ;2007;0;
Vivo           ;2008;0;
Vivo           ;2009;0;
Vivo           ;2010;0;
Vivo           ;2011;0;
Vivo           ;2012;0;
Vivo           ;2013;3;
Vivo           ;2014;7;
Vivo           ;2015;12;
Vivo           ;2016;13;
Vivo           ;2017;5;996848
Vivo           ;2018;0;
Vivo           ;2019;0;
VK Mobile      ;2004;8;
VK Mobile      ;2005;14;
VK Mobile      ;2006;8;
VK Mobile      ;2008;1;
Vodafone       ;2006;1;
Vodafone       ;2007;6;
Vodafone       ;2008;7;
Vodafone       ;2009;16;
Vodafone       ;2010;13;
Vodafone       ;2011;2;
Vodafone       ;2012;6;
Vodafone       ;2013;5;
Vodafone       ;2014;6;
Vodafone       ;2015;6;
Vodafone       ;2016;6;
Vodafone       ;2017;1;
Wiko           ;2014;11;
Wiko           ;2015;17;
Wiko           ;2016;7;
WND            ;2007;5;
XCute          ;2005;2;
XCute          ;2006;2;
Xiaomi         ;1992;0;
Xiaomi         ;1993;0;
Xiaomi         ;1994;0;
Xiaomi         ;1995;0;
Xiaomi         ;1996;0;
Xiaomi         ;1997;0;
Xiaomi         ;1998;0;
Xiaomi         ;1999;0;
Xiaomi         ;2000;0;
Xiaomi         ;2001;0;
Xiaomi         ;2002;0;
Xiaomi         ;2003;0;
Xiaomi         ;2004;0;
Xiaomi         ;2005;0;
Xiaomi         ;2006;0;
Xiaomi         ;2007;0;
Xiaomi         ;2008;0;
Xiaomi         ;2009;0;
Xiaomi         ;2010;0;
Xiaomi         ;2011;0;
Xiaomi         ;2012;2;
Xiaomi         ;2013;4;
Xiaomi         ;2014;6;56529
Xiaomi         ;2015;12;656186
Xiaomi         ;2016;18;
Xiaomi         ;2017;7;
Xiaomi         ;2018;0;1223870
Xiaomi         ;2019;0;1260492
XOLO           ;2013;24;
XOLO           ;2014;37;
XOLO           ;2015;13;
XOLO           ;2016;5;
XOLO           ;2017;1;
Yezz           ;2011;8;
Yezz           ;2012;12;
Yezz           ;2013;14;
Yezz           ;2014;22;
Yezz           ;2015;21;
Yezz           ;2016;10;
Yota           ;2012;1;
Yota           ;2014;1;
YU             ;2015;5;
YU             ;2016;4;
YU             ;2017;1;
Yulong         ;1992;0;
Yulong         ;1993;0;
Yulong         ;1994;0;
Yulong         ;1995;0;
Yulong         ;1996;0;
Yulong         ;1997;0;
Yulong         ;1998;0;
Yulong         ;1999;0;
Yulong         ;2000;0;
Yulong         ;2001;0;
Yulong         ;2002;0;
Yulong         ;2003;0;
Yulong         ;2004;0;
Yulong         ;2005;0;
Yulong         ;2006;0;
Yulong         ;2007;0;
Yulong         ;2008;0;
Yulong         ;2009;0;
Yulong         ;2010;0;
Yulong         ;2011;0;
Yulong         ;2012;0;
Yulong         ;2013;0;326014
Yulong         ;2014;0;
Yulong         ;2015;0;
Yulong         ;2016;0;
Yulong         ;2017;0;
Yulong         ;2018;0;
Yulong         ;2019;0;
ZTE            ;1992;0;
ZTE            ;1993;0;
ZTE            ;1994;0;
ZTE            ;1995;0;
ZTE            ;1996;0;
ZTE            ;1997;0;
ZTE            ;1998;0;
ZTE            ;1999;0;
ZTE            ;2000;0;
ZTE            ;2001;0;
ZTE            ;2002;0;
ZTE            ;2003;0;
ZTE            ;2004;0;
ZTE            ;2005;0;
ZTE            ;2006;0;
ZTE            ;2007;1;
ZTE            ;2008;2;
ZTE            ;2009;14;
ZTE            ;2010;16;287687
ZTE            ;2011;20;568818
ZTE            ;2012;38;673444
ZTE            ;2013;24;598988
ZTE            ;2014;26;5391
ZTE            ;2015;38;
ZTE            ;2016;25;
ZTE            ;2017;14;
ZTE            ;2018;0;
ZTE            ;2019;0;
